run_id,total_enemies,rooms_with_enemies,rooms_with_chests,enemy_density,level_1_enemies,level_2_enemies,level_3_enemies,level_1_percentage,level_2_percentage,level_3_percentage,mean_challenge_rating,max_challenge_rating,min_challenge_rating,challenge_rating_variance
1,17,9,2,1.3077,5,6,6,0.2941,0.3529,0.3529,3.9167,6,3,1.2431
2,20,11,2,1.5385,5,13,2,0.2500,0.6500,0.1000,3.8333,5,3,0.4722
3,26,9,1,2.3636,11,11,4,0.4231,0.4231,0.1538,5.0000,9,3,3.6000
4,28,12,3,2.0000,11,12,5,0.3929,0.4286,0.1786,4.3846,6,3,1.0059
5,29,12,2,1.8125,11,10,8,0.3793,0.3448,0.2759,4.3333,6,3,1.2889
6,24,10,1,2.1818,10,8,6,0.4167,0.3333,0.2500,4.8000,8,3,1.9600
7,25,11,2,1.7857,10,9,6,0.4000,0.3600,0.2400,4.1538,7,3,1.3609
8,27,11,2,2.0769,9,7,11,0.3333,0.2593,0.4074,4.9167,8,3,3.0764
9,17,10,4,1.4167,4,7,6,0.2353,0.4118,0.3529,4.0000,7,3,1.4545
10,22,9,2,2.0000,8,6,8,0.3636,0.2727,0.3636,4.8000,7,3,1.3600
11,26,10,1,2.1667,11,8,7,0.4231,0.3077,0.2692,4.6364,7,3,1.3223
12,26,10,1,2.1667,12,6,8,0.4615,0.2308,0.3077,4.7273,9,3,2.7438
13,19,10,0,1.3571,6,8,5,0.3158,0.4211,0.2632,3.7692,5,3,0.7929
14,19,9,4,1.4615,6,5,8,0.3158,0.2632,0.4211,4.4167,8,3,2.7431
15,24,9,3,2.1818,10,6,8,0.4167,0.2500,0.3333,5.0000,9,3,3.2000
16,19,10,1,1.3571,4,11,4,0.2105,0.5789,0.2105,3.9231,6,3,0.8402
17,32,11,1,2.6667,14,10,8,0.4375,0.3125,0.2500,5.2727,7,3,1.4711
18,23,10,0,1.7692,9,7,7,0.3913,0.3043,0.3043,4.1667,6,3,0.6389
19,22,10,1,2.0000,5,8,9,0.2273,0.3636,0.4091,4.9000,8,3,2.2900
20,25,11,0,1.9231,10,7,8,0.4000,0.2800,0.3200,4.3333,6,3,1.5556
21,22,11,2,1.6923,2,15,5,0.0909,0.6818,0.2273,4.2500,6,3,1.0208
22,21,9,2,1.6154,8,6,7,0.3810,0.2857,0.3333,4.3333,7,3,1.3889
23,26,10,2,2.3636,9,9,8,0.3462,0.3462,0.3077,5.1000,8,4,1.2900
24,23,10,2,1.9167,8,7,8,0.3478,0.3043,0.3478,4.4545,6,3,0.9752
25,24,9,3,2.1818,9,8,7,0.3750,0.3333,0.2917,5.1000,7,3,1.6900
26,26,11,2,1.7333,12,7,7,0.4615,0.2692,0.2692,4.2143,9,3,2.5969
27,27,12,2,1.9286,10,9,8,0.3704,0.3333,0.2963,4.4615,8,3,1.6331
28,28,11,2,2.3333,12,12,4,0.4286,0.4286,0.1429,4.8182,8,3,2.1488
29,34,10,4,2.8333,17,8,9,0.5000,0.2353,0.2647,5.8182,9,3,4.1488
30,15,6,1,1.6667,6,4,5,0.4000,0.2667,0.3333,4.5000,6,3,1.5000
31,16,8,2,1.2308,4,6,6,0.2500,0.3750,0.3750,4.0000,10,3,3.6667
32,23,11,3,1.7692,5,11,7,0.2174,0.4783,0.3043,4.4167,6,3,0.5764
33,24,11,3,1.7143,9,9,6,0.3750,0.3750,0.2500,4.1538,6,3,1.0533
34,25,10,2,2.0833,11,8,6,0.4400,0.3200,0.2400,4.5455,6,3,1.3388
35,15,8,3,1.1538,5,3,7,0.3333,0.2000,0.4667,4.0000,6,3,0.8333
36,27,12,2,1.9286,11,11,5,0.4074,0.4074,0.1852,4.2308,6,3,0.6391
37,29,10,4,2.4167,9,9,11,0.3103,0.3103,0.3793,5.7273,10,3,4.3802
38,27,12,2,1.9286,12,6,9,0.4444,0.2222,0.3333,4.3077,7,3,0.9822
39,27,12,4,1.9286,9,8,10,0.3333,0.2963,0.3704,4.5385,7,3,1.6331
40,24,9,3,2.0000,10,8,6,0.4167,0.3333,0.2500,4.6364,9,3,2.7769
41,21,11,1,1.7500,4,11,6,0.1905,0.5238,0.2857,4.3636,8,3,1.6860
42,20,8,2,2.0000,6,10,4,0.3000,0.5000,0.2000,4.8889,7,3,1.2099
43,23,8,0,2.0909,10,11,2,0.4348,0.4783,0.0870,4.5000,7,3,1.4500
44,20,8,1,1.8182,10,4,6,0.5000,0.2000,0.3000,4.4000,7,3,1.6400
45,29,10,1,2.2308,14,7,8,0.4828,0.2414,0.2759,4.8333,7,3,1.4722
46,31,9,1,2.3846,14,10,7,0.4516,0.3226,0.2258,5.3333,10,3,4.3889
47,25,12,3,1.6667,8,6,11,0.3200,0.2400,0.4400,4.3571,8,3,2.0867
48,30,11,1,2.5000,12,11,7,0.4000,0.3667,0.2333,5.0909,8,4,1.9008
49,24,10,2,2.0000,8,11,5,0.3333,0.4583,0.2083,4.6364,6,4,0.7769
50,19,9,1,1.4615,5,9,5,0.2632,0.4737,0.2632,4.2500,7,3,1.3542
