run_id,total_rooms,reachable_rooms,unreachable_rooms,connectivity_ratio,is_fully_connected,total_corridors,minimum_connections_needed,redundant_connections,path_redundancy_ratio,entrance_to_exit_distance
1,13,13,0,1.0000,1,12,12,0,0.0000,30
2,13,13,0,1.0000,1,12,12,0,0.0000,44
3,11,11,0,1.0000,1,10,10,0,0.0000,41
4,14,14,0,1.0000,1,13,13,0,0.0000,31
5,16,16,0,1.0000,1,15,15,0,0.0000,41
6,11,11,0,1.0000,1,10,10,0,0.0000,36
7,14,14,0,1.0000,1,13,13,0,0.0000,36
8,13,13,0,1.0000,1,12,12,0,0.0000,41
9,12,12,0,1.0000,1,11,11,0,0.0000,32
10,11,11,0,1.0000,1,10,10,0,0.0000,35
11,12,12,0,1.0000,1,11,11,0,0.0000,45
12,12,12,0,1.0000,1,11,11,0,0.0000,38
13,14,14,0,1.0000,1,13,13,0,0.0000,41
14,13,13,0,1.0000,1,12,12,0,0.0000,38
15,11,11,0,1.0000,1,10,10,0,0.0000,39
16,14,14,0,1.0000,1,13,13,0,0.0000,44
17,12,12,0,1.0000,1,11,11,0,0.0000,37
18,13,13,0,1.0000,1,12,12,0,0.0000,42
19,11,11,0,1.0000,1,10,10,0,0.0000,31
20,13,13,0,1.0000,1,12,12,0,0.0000,35
21,13,13,0,1.0000,1,12,12,0,0.0000,41
22,13,13,0,1.0000,1,12,12,0,0.0000,38
23,11,11,0,1.0000,1,10,10,0,0.0000,38
24,12,12,0,1.0000,1,11,11,0,0.0000,44
25,11,11,0,1.0000,1,10,10,0,0.0000,47
26,15,15,0,1.0000,1,14,14,0,0.0000,39
27,14,14,0,1.0000,1,13,13,0,0.0000,35
28,12,12,0,1.0000,1,11,11,0,0.0000,31
29,12,12,0,1.0000,1,11,11,0,0.0000,39
30,9,9,0,1.0000,1,8,8,0,0.0000,39
31,13,13,0,1.0000,1,12,12,0,0.0000,37
32,13,13,0,1.0000,1,12,12,0,0.0000,42
33,14,14,0,1.0000,1,13,13,0,0.0000,32
34,12,12,0,1.0000,1,11,11,0,0.0000,44
35,13,13,0,1.0000,1,12,12,0,0.0000,37
36,14,14,0,1.0000,1,13,13,0,0.0000,41
37,12,12,0,1.0000,1,11,11,0,0.0000,38
38,14,14,0,1.0000,1,13,13,0,0.0000,41
39,14,14,0,1.0000,1,13,13,0,0.0000,42
40,12,12,0,1.0000,1,11,11,0,0.0000,40
41,12,12,0,1.0000,1,11,11,0,0.0000,31
42,10,10,0,1.0000,1,9,9,0,0.0000,42
43,11,11,0,1.0000,1,10,10,0,0.0000,42
44,11,11,0,1.0000,1,10,10,0,0.0000,39
45,13,13,0,1.0000,1,12,12,0,0.0000,39
46,13,13,0,1.0000,1,12,12,0,0.0000,36
47,15,15,0,1.0000,1,14,14,0,0.0000,37
48,12,12,0,1.0000,1,11,11,0,0.0000,36
49,12,12,0,1.0000,1,11,11,0,0.0000,32
50,13,13,0,1.0000,1,12,12,0,0.0000,43
